Popularity,Title,Genre,User Rating,Number of Votes,Runtime,Year,Summary,Director,Stars,Certificate
4299,White Knight Chronicles,"Action, Adventure, Drama",7.4,67,,2008,"Leonard, Yuile and their new friend are delivering wine to a banquet in honour of Princess Cisna of Balandor. When the banquet is raided by Magi and the king is slain, Leonard escapes with Cisna finds a suit of armour called the Incorruptus. Leonard dons this armour to become the White Knight to fight back against the Magi, but in the ensuing battle, Cisna is abducted, leaving Leonard and his companions to venture out to rescue her. White Knight Chronicles is a role-playing game with an online questing mode. The player creates their own avatar with whom they interact with the main story. Combat is real-time, with each character's abilities chosen from customisable quick menus, with options for chains by assigning multiple abilities to the same slot. The online mode takes cues from Dark Cloud; players found and manage their own town from which they can invite other players with whom to take quests together.","Yoshiaki Kusuda,","Daniel Taylor, Dannah Feinglass Phirman, Charles Shaughnessy, Vince Corazza",T
4300,Sleeping Dogs: Year of the Snake,"Action, Thriller",7.5,104,,2013,Wei Shen investigates terror attacks around Hong Kong stemming from a cultist group who believe that they will achieve spiritual salvation through the cleansing of Hong Kong residents.,,"Kelly Hu, Will Yun Lee, Mike Li",18
4301,Shadow Complex,"Action, Adventure, Mystery",7.8,153,,2009,"Video game prequel to Orson Scott Card's Empire novel, where a young man must rescue his girlfriend from terrorists who are preparing for war against the US government.","Donald Mustard, Geremy Mustard,","Nolan North, Eliza Schneider, Graham McTavish, Marc Anthony Samuel",T
4302,Deluxe Space Invaders,"Action, Sci-Fi",5.2,20,,1979,,,nan,
4303,Outcast: Second Contact,"Action, Adventure, Sci-Fi",5.7,36,,2017,Remake of the 1999 classic Outcast.,"Yves Grolet,","David Gasman, Juliet Dunn, Michael Morris, Christian Erickson",T
4304,Darkened Skye,"Action, Fantasy, Adventure",7.5,28,,2002,"Action adventure game set in a fantasy world inspired by Skittles, a popular brand of real life candy. Young warrior-shepherdess Skye must use the power of magical gems knows as Skittles to defeat Necroth, the lord of darkness.",,"Linda Larkin, Robb Pruitt, Ronda Berkman, Ramon De Ocampo",T
4305,Hot Wheels Unleashed,"Action, Adventure, Family",6.2,135,,2021,"Collect the best vehicles in the Hot Wheels universe, build spectacular tracks and dive into breathtaking races.",,Michele Caletti,E
4306,Into the Breach,"Action, Adventure, Sci-Fi",7.8,171,,2018,The remnants of human civilization are threatened by gigantic creatures breeding beneath the earth. You must control powerful mechs from the future to hold off this alien threat.,,"Matthew Davis, Justin Ma",E10+
4307,Kirby: Squeak Squad,"Action, Adventure, Family",7.8,716,,2006,"When his precious strawberry shortcake is stolen by a gang of treasure hunters known as The Squeaks, Kirby sets off on an epic quest to retrieve it.",,Takashi Hamamura,E
4308,Crazy Taxi 3: High Roller,"Action, Comedy",6.6,89,,2002,"The yellow cab is back on the streets of America. The game lets you get behind the wheel with one of four new characters, each with his or her own trademark attitude and new set of wheels.","Satoshi Horie,","Kevin Miller, David Nowlin, Marci Henderson, Kevin Blackton",T
4309,Duke Nukem 3D: 20th Anniversary World Tour,"Action, Adventure, Comedy",7.8,41,,2016,"Join the world's greatest action hero in Duke Nukem 3D: 20th Anniversary World Tour as he saves Earth once again, kicking alien ass and saving babes.","Greg Malone,",Jon St. John,M
4310,Empires: Dawn of the Modern World,"Action, Adventure, History",7.8,34,,2003,"Empires is a non-symmetrical historical RTS spanning in time from the Middle Ages to WWII. With 7 civilizations all with entirely unique units, effects, and special attacks, focuses as much on Gameplay variety as on historical weaponry.",,"Dennis Berkeley, Joshua James, Edwin Booth, Daniel Carmen",T
4311,Wing Commander II: Vengeance of the Kilrathi,"Action, Adventure, Sci-Fi",8.5,188,,1991,"The main character (whose name and callsign are given by the player) is a space fighter pilot, in a war against the Kilrathi; a race of tiger-like creatures. The Kilrathi are a vicious, ...","Stephen Beeman, Ellen Beeman, Chris Roberts,","Ken Demarest III, Marten Davies, Denise Dee, Bill Harwell",
4312,APB: All Points Bulletin,Action,6.1,36,,2010,A massively multi-player online game that sees two factions - Enforcers and Criminals - battling for power on the dystopian urban streets of the fictional city of San Paro.,"David Jones,","Jimmy Akingbola, Giselle Anthony, Joseph Balderrama, Greg Baldwin",M
4313,Pro Evolution Soccer 3,"Action, Drama, Sport",7.9,259,,2003,Pro Evolution Soccer 3 is a football video game developed and produced by Konami.,,nan,
4314,Spark the Electric Jester 3,"Action, Adventure, Fantasy",8.2,11,,2021,"Continuing directly from where Spark the Electric Jester 2 left off, Join Spark on his mission to overthrow his rival once again. Blaze through fast action packed stages and experience a new and improved combat system.",,Felipe Daneluz,
4315,Torchlight 2,"Action, Adventure, Fantasy",7.3,304,,2012,"The adventure continues in Torchlight II. An Action RPG filled with epic battles, bountiful treasure, and a fully randomized world. Bring your friends along for the journey with online and LAN multiplayer.",,"Lev Liberman, Lani Minella",
4316,Brute Force,"Action, Adventure, Sci-Fi",7,89,,2003,"A quartet of commandoes battle against a galactic uprising that seems to be led by a maniacal cult. Meanwhile, something bigger draws closer to their location.",,"Steven Barr, Kevin Dorsey, Susan Eisenberg, Monnae Michaell",M
4317,Guacamelee!,"Action, Adventure, Fantasy",7.4,585,,2013,"Juan Aguacate must return from the land of the dead to rescue his childhood friend and love interest, Lupita, from sacrifice at the hands of evil charro skeleton Carlos Calaca.",,nan,E10+
4318,Mega Man 5,"Action, Adventure, Sci-Fi",7.1,531,,1992,"Proto Man, Mega Man's ""brother,"" becomes the prime suspect of an attack involving eight robot masters. It's now up to Mega Man to get to the bottom of the Proto Man's sudden aggression.",,Ichirou Mihara,E
4319,Sonic Drift,"Action, Family, Fantasy",5.3,86,,1994,"A kart racing game for the Japanese Game Gear featuring Sonic, Tails, Amy, and Doctor Robotnik.",,Katsuhiro Hasegawa,E
4320,60 Seconds!,"Action, Adventure, Comedy",6.7,34,,2015,"60 Seconds is a dark comedy atomic adventure of scavenge and survival, Collect supplies and rescue your family before the nuke hits, Stay alive in your fallout shelter, Make difficult decisions, ration food and water and survive.. Or not.",,nan,T
4321,Fullmetal Alchemist 2: Curse of the Crimson Elixir,"Action, Adventure, Drama",8.1,97,,2004,"Edward and Alphonse arrive in the city of Lior to deal with Father Cornello and ask him about the Philosopher's Stone. However, just as soon as the two brothers defeat him, Father Cornello ...","Shigeru Maekawa,","Vic Mignogna, Aaron Dismuke, Caitlin Glass, Juli Erickson",T
4322,Mighty Switch Force! Academy,Action,,,,2015,,"Matt Bozon,",Stephanie Komure,
4323,Rayman Redemption,"Action, Adventure, Family",7.7,7,,2020,"Rayman Redemption is a fanmade remake/reimagination of the original Rayman game from 1995, Created by Ryemanni. It features a lot of new content, including new worlds, levels, minigames and other stuff to collect and complete.",,Ryemanni,E
4324,The Godfather,"Action, Crime",8.1,58,,1991,,,nan,
4325,Lands of Lore III,"Action, Adventure, Fantasy",7.7,35,,1999,"Copper LeGre', the shunned son of king Richard' s brother and a Dracoid barmaid, must find the pieces of the Shining Path mirror in order to retrieve his stolen soul, close strange rifts and prove that he didn't kill his family.",,"Susanne Blakeslee, Clancy Brown, Warren Burton, Darleen Carr",T
4326,King Arthur,"Action, Adventure, Drama",6.7,56,,2004,Play as King Arthur and his warriors to fight the war for Rome.,"John Passfield, Steve Stamatiadis,","Andrew Chaikin, Roger Jackson, John Champion, Doug Boyd",T
4327,300: March to Glory,"Action, Fantasy, History",5.3,142,,2007,"Videogame adaptation of the hit film ""300"".",,"Crispin Freeman, Fred Tatasciore, Daniel Riordan, Chris Diamantopoulos",M
4328,Kill It with Fire,"Action, Adventure, Comedy",5.5,42,,2020,Kill It With Fire is a first-person action game about hunting spiders and causing collateral damage.,,nan,E10+
4329,Saturday Night Fever,Action,8,11,,2008,,,"Karen Lynn Gorney, Joseph Cali",
4330,Traffic Racer,Action,4.6,18,,2013,,,nan,
4331,Touhou Luna Nights,"Action, Adventure, Fantasy",8,24,,2018,Touhou Luna Nights is a Metroidvania title with a heavy emphasis on exploration and action.,,"Felecia Angelle, Corina Boettger, Skyler Davenport, Brittney Karbowski",T
4332,"John Carter, Warlord of Mars","Action, Adventure, Sci-Fi",,,,,,,"Kezia Burrows, Brian Bovell, David Elliot",
4333,Haak,"Action, Adventure, Fantasy",,,,2020,"HAAK is a Metroidvania-Platformer. As the mysterious wanderer Haak, you embarked on an epic expedition across the vast cyber-wasteland to find your lost brother.",,nan,T
4334,Lethal Enforcers II: Gunfighters,"Action, Crime, Western",7.4,43,,1994,"In this first person shooting game with light gun, you play a Western lawman and fight outlaws while protecting the good folks.",,nan,Unrated
4335,Vengeance Is Mine,Action,,,,2023,Set Within A World Off Giant Mech Robots That Rule The Cosmos. Up To One Good Hearted Soldier To End The Evil Rule That Gripped Many Planets. Unveiling the Lie To End All Lies.,"Stefanie Joosten, Sergei Kolobashkin,","Alyson Court, Stefanie Joosten, Alexander W. Hunter",Not Rated
4336,Destruction Derby,"Action, Sport",6.6,77,,1995,"You are the player who has to race against other cars and crash into them for score points, but beware the rival cars can crash into you and if they total your car, you're out of the race. There are a total of 6 courses in the game.","Ian Grieve,","Steve Cooke, Jessica Martin",
4337,Croc 2,"Action, Adventure, Family",7.1,134,,1999,This lastest installment of Croc's adventures follows out hero through his awkward and heart warming adolescent years,,Jonathan Aris,E
4338,Pokémon Super Mystery Dungeon,"Action, Adventure, Fantasy",7.6,69,,2015,,,"Hironori Ishigami, Seiichiro Nagahata, Satoshi Tajiri",E
4339,Miami Vice: The Game,"Action, Adventure, Crime",7,48,,2006,Go deep undercover as narc officers Sonny Crockett and Ricardo Tubbs to bring down a South American drug lord.,"Ken Turner,","Stefan Ashton Frank, Kayvan Novak, Jay Simon, William Vanderpuye",M
4340,Zetsubou No Shima,"Action, Drama, Horror",6.8,155,,2016,"Zetsubou No Shima features a foliage rich island map including new terrifying zombie enemies, a variety of innovative transport mechanics, more devastating traps and classic Zombies side quests.","Kevin Drew,","Steve Blum, Tom Kane, Nolan North, Fred Tatasciore",
4341,RTX Red Rock,"Action, Sci-Fi",7.2,17,,2003,,"Hal Barwood,","August Paro, Monica Lee Gradischek, Susan Dalian, Earl Boen",T
4342,"The Batman: Multiply, Divide and Conquer","Action, Family",,,,2005,,,"Alastair Duncan, Jason Marsden, Kevin Michael Richardson, Rino Romano",EC
4343,Lego Legends of Chima: Laval's Journey,Action,5.9,31,,2013,,,"Peter Brooke, David Boat, Taylor Lawrence",E10+
4344,Dragon: The Bruce Lee Story,Action,7.3,88,,1993,Martial arts action is defined by only one man: Bruce Lee! Now enter the world of Dragon for the ultimate martial arts showdown...authentic fierce brutal. It's a jeet kune do fight to the finish with multiple combat modes deadly weapons and chain-wielding villains. In the end you must face The Phantom...in a mystical battle for your very soul!,,nan,T
4345,Zoids,"Action, Fantasy",,,,1986,"You play as Earthman and you have crash-landed on Zoidstar, a hostile planet. But terrifying war machines live there called Zoids.The Zoid's creators are dead from a deadly meteor shower and a civilization of androids use the Zoids to conquer the galaxy. But now they destroy each other.",,nan,
4346,War of the Monsters,"Action, Sci-Fi, Thriller",7.9,127,,2003,"Themed after 1950's Science-Fiction films, ""War of The Monsters"" is a 3-D fighting game set after an alien invasion, where the volatile fuel from the saucers awaken and mutate several creatures who set off to fight each other for supremacy of the earth.",,Perelandra Beedles,T
4347,Empire Earth III,"Action, War",4.3,58,,2007,"Once a province is under your control, you need to assign a role to it. Depending on what role you assign, the province will either produce one of the three available resources or be a place where you can recruit new armies. You can then move those armies around on the map in turn-based mode. But of course you are not alone on the world and the tribes aren't giving up their territory so easily either. So you will need to fight many battles.",,"Tony Alcantar, Nansi Aluka, Phil Carey, Michael Daingerfield",T
4348,Fallen Tear: The Ascension,"Action, Adventure, Fantasy",,,,,"Centuries after the end of a devastating war between the gods, the fantastical world of Raoah is suffering and dying in its wake. The last hope for salvation resides in the forgotten past of Hira, a boy veiled in secrets and mystery. Find answers, allies, and an antidote to the coming calamity as you adventure as Hira through these once-paradisal lands.","Stephen Manalastas,","Anairis Quinones, Elsie Lovelock, Laila Berzins, Caleb Yen",
4349,Super Chick Sisters,"Action, Adventure, Comedy",4.1,12,,2007,"A parody of Super Mario Bros. Two young chick sisters, Nugget and Chickette, set out to rescue vegan actress Pamela Anderson, who has been kidnapped by Colonel Sanders, the evil founder of Kentucky Fried Chicken. Mario and Luigi show up as ""butt monkeys"".",,Karen Nilsen,
4350,Shadowrun,"Action, Fantasy, Sci-Fi",7.3,95,,2007,"An online first-person shooter with RPG elements, based on the classic tabletop game, in which tech-savvy mercenaries compete for lucrative hacking, infiltration and termination jobs.",,nan,M
4351,Defender,"Action, Adventure, Fantasy",7.4,185,,1981,Defend the human population from swarms of attacking aliens.,,nan,Unrated
4352,Shank 2,"Action, Crime",6.8,130,,2012,"Several years after the events of the last game, Shank returns to his hometown only to find it under the control of a militia. Shank will have no choice but to get his hands messy once again.",,"Michael Dobson, Bree Greig, Jordan Krahn, Vincent Tong",M
4353,Gauntlet,"Animation, Action, Adventure",6.2,80,,2014,"Play as one of four heroes: Warrior, Wizard, Valkyrie, or Elf and descend into the Gauntlet's dungeons where they must fight through the chambers, slaying evil creatures and completing challenges.","Emil Englund, Axel Lindberg, Johan Pilestedt,","Kola Krauze, Indy Neidell, EvaMaria Oria, Monte Reid",M
4354,Heroes of Might and Magic V,"Action, Adventure, Fantasy",7.5,858,,2006,"An epic campaign set in Ashan, a brand-new fantasy world with no ties to the old Might and Magic universe.",,"Anna Graves, April Stewart, Bob Joles, Chuck McCann",T
4355,Shadow the Ronin: The Revenge to the Samurai,"Action, Adventure",4.8,75,,2020,"Dokuganryu, a legendary samurai of the ancient capital imperial was deprived and expelled from their lands, and all his family was killed by the orders of the emperor.",,Gilson B. Pontes,T
4356,Conflict: Vietnam,"Action, Drama, History",6.9,110,,2004,"It follows four US soldiers, Ragman, Junior, Hoss and Cherry who are cut off from their unit during the 1968 Tet Offensive and survive in the hostile Vietnam jungle against a ruthless enemy.",,"Matt Ballard, Dennis Ostermaier, Loose Cannon, Jordan Lage",M
4357,OlliOlli World,"Action, Adventure, Sport",6.9,59,,2022,OlliOlli World is a bold new skateboarding action-platformer that's bursting with personality. Flip and flow through the vivid and discover the mystical skate gods on your quest for Gnarvana.,,Bryan J. Olson,E10+
4358,Die Hard: Nakatomi Plaza,"Action, Adventure",6.9,101,,2002,"John McClane, A brash New York cop, is in Los his wife, Arriving at her company Christmas party, his efforts are interrupted when a group of highly trained thieves seize the skyscraper as part of a daring heist.",,"J. Bird, J.D. Black, Michael Blanchard, Glenn Dphrepaulezz",M
4359,Project X Zone 2,"Action, Adventure, Comedy",7.4,28,,2015,Mysterious golden chains have been discovered around Shibuya. It's up to Shinra agents Reiji Arisu and Xiaomu to investigate.,"Souichirou Morizumi,","Mamoru Miyano, Tomokazu Sugita, Takahiro Sakurai, Ikue Ôtani",T
4360,Star Wars: X-Wing Alliance,"Action, Adventure, Sci-Fi",8.2,255,,1999,You play a young freighter pilot who eventually must join the rebellion against the Empire.,,"Terence McGovern, Charles Martinet, Neil Ross, Jarion Monroe",
4361,Gunfighter II: Revenge of Jesse James,"Action, Western",6.8,6,,2003,"Gunfighter II, continues the wild adventures of Jesse James as players strap on a six-shooter and prepare to gun down an assortment of two-bit thugs and double crossing varmints who done them wrong.",,Jason Kingsley,
4362,Galerians: Ash,"Action, Adventure, Drama",6.5,31,,2002,"Rion is back in the sequel as he battles Ash and his evil minions. Ash wants to destroy all organic life on Planet Earth, and this time you are once again teamed up with Lilia.","Hiroshi Kobayashi,","Johnny Yong Bosch, Dave Wittenberg, Bridget Hoffman, Michelle Ruff",T
4363,Taimanin RPG,Action,,,,2018,,,nan,
4364,Space Force,"Action, Sci-Fi",,,,1980,An,,nan,
4365,Die Känguru-Verschwörung,Action,,,,2022,,"Kalle Max Hofmann,","Marc-Uwe Kling, Dimitrij Schaad",
4366,Donkey Kong 3,"Action, Family",5.8,195,,1983,"When Donkey Kong invades a greenhouse, Mario is not available, so it's up to local exterminator Stanley the Bugman to save the day.",,Shigeru Miyamoto,Unrated
4367,Rayman Mini,"Action, Adventure, Family",7.5,15,,2019,"Rayman has been shrunk to the size of an ant. To undo this spell, insects, mushrooms, leaves, and other plants will be your allies as you find your way through a wonderful, macro-photographic world.",,nan,E
4368,James Bond 007,"Action, Adventure",7.4,91,,1983,"James Bond 007 is a 1983 side-scrolling video game developed and published by Parker Brothers for the Atari 2600, Atari 5200, ColecoVision, and Commodore 64. It is based on the James Bond film series.",,nan,Not Rated
4369,Gargoyles,"Action, Adventure, Fantasy",7.9,46,,1995,Goliath must stop the evil Eye of Odin before it destroys the world.,,nan,K-A
4370,WWF in Your House,Action,6.2,67,,1996,The follow up to the smash hit,"Joe Bustos,","Mark Calaway, Bret Hart, Jim Hellwig, Shawn Michaels",T
4371,ArcheAge,Action,7.1,24,,2013,ArcheAge is an epic fantasy MMORPG free of predefined paths and progression. Youre free to choose your own path and play your way from the starting continents of Haranya and Nuia to the ...,"Jake Song,","Stacy Fong, Adrianne Grady, Gavin Hammon, Amy Ingersoll",
4372,Final Fight 3,"Action, Crime",7,149,,1995,"When a new criminal group named the Skull Cross Gang emerges as the new dominant criminal organization in Metro City, Guy and Haggar must once again save Metro City from its newest menace.",,nan,T
4373,Rocky Legends,"Action, Comedy, Drama",8,156,,2002,"Based off all five Rocky movies, play as Rocky Balboa as he rises to championship battling foes like Apollo Creed, Billy Snow, Joe Czak, Ivan Drago and more.",,"Cyrille Artaux, Jay Benedict, Alain Bergé, John Chancer",T
4374,MotorStorm,"Action, Sport",7.3,393,,2006,"MotorStorm is a fast action rally type racing game. A racing festival is taking place in the desert. Here you can try a wide variety of vehicles including motorcycles, ATVs, buggies, rally cars, racing truck and even big rig semis.",,Carlos Diego,T
4375,Naruto: Gekitou Ninja Taisen 4,Action,,,,2005,"Topping the previous three releases with a total of 30 playable characters, the fourth installment contains a number of interesting new features, including the tag team mode, summons and transformations, and brand new stages.",,"Chie Nakamura, Noriaki Sugiyama, Junko Takeuchi",
4376,Mickey Mouse,Action,6.7,13,,1989,"Mickey Mouse must navigate through 80 levels of this puzzle/adventure game using stairs, doors, tubes, and falling to collect all of the hearts, while avoiding Pete, the Big Bad Wolf, the White Rabbit and Vulture.",,nan,
4377,Wirehead,"Action, Adventure, Comedy",7.2,32,,1995,"Wirehead is a first-person perspective ""interactive movie"" video game where a seemingly, average, family man learns that he has a hi-tech device inside his brain, which lots of different people are willing to kill to obtain.","James W. Riley,","Steve Witting, Leah Lail, Natasha Pavlovich, John Fujioka",
4378,Turrican,"Action, Adventure, Sci-Fi",8.2,88,,1989,"Turrican is a fast paced side scrolling shoot-em up. It features huge levels, many power-ups, and challenging gameplay.",,nan,Not Rated
4379,Prisoner of War,"Action, Adventure, War",7.9,67,,2002,Pilot Lewis Stone tries to escape several prison camps to try and get home,,"Stefan Ashton Frank, Tim Bentinck, Steffan Boje, Christopher Fairbank",T
4380,Mace Griffin Bounty Hunter,"Action, Sci-Fi",7.2,59,,2003,Set in a SF Vagner System on the edge of the known universe in an alternate history.,"Ian Grieve,","Henry Rollins, Tony Jay",M
4381,Gauntlet Legends,"Action, Adventure, Fantasy",7.1,134,,1998,"Archer, Warrior, Valkyrie and Wizard journey through four worlds of fantasy adventure to find and defeat the evil demon Skorne.",,"Laurie Amat, Patrice Crawford, Tox Gunn, Douglas Lawrence",T
4382,God of War II,"Action, Adventure",,,,2014,A evil sorcerer has taken over Olympus and has released his powers and you must stop him. A ROM hack of Castlevania.,,nan,
4383,Rave Master: Special Attack Force,Action,6.9,12,,2005,Haru glory's life is turned upside down when he finds out he is the legendary rave master,"Takeshi Minagawa, Kazunobu Uchida, Katsufumi Yoshimori,","Yuri Lowenthal, Doug Erholtz, Michelle Ruff, Mona Marshall",T
4384,The Smurfs - Mission Vileaf,"Animation, Action, Adventure",6.9,12,,2021,"Gargamel, the evil sorcerer just created the VILEAF, A plant that has the ability to attract and capture the Smurfs.. So with the help of 4 brave Smurfs, It's time to heal the plants on your way and defeat the evil Gargamel once again.","Matthieu Frémont,","Abraham Aguilar, Marc Arnaud, Monty Arnold, Sarah Michelle Asratian",E
4385,9 Monkeys of Shaolin,"Action, Adventure, Fantasy",,,,2020,,,"Daisuke Tsuji, Sam A. Mowry, Mark Whitten, Erik Braa",
4386,Space Bunnies Must Die!,"Action, Adventure, Comedy",6.5,8,,1998,A Southern diner waitress infiltrates the secret mountain base of rabbit-looking evil space aliens to rescue her abducted sister in this comedic third person shooter with platforming and puzzle solving elements inspired by shlocky B-films.,"Phill Simon,","Molly Harvey, Jesse Nelson",
4387,Dragon Age: Origins - Leliana's Song,"Action, Adventure, Fantasy",7,43,,2010,,"Mark Darrah, Dan Tudge,","Corinne Kempa, Kath Soucie, Adam Howden, John Ullyatt",M
4388,Prodeus,"Action, Adventure, Horror",7.5,55,,2020,"Prodeus is the first person shooter of old, re-imagined using modern rendering techniques, It reaches the quality you expect from a AAA experience while adhering to some of the aesthetic technical limits of older hardware.",,"Jason Mojica, Mike Voeller",M
4389,Ironsword: Wizards & Warriors II,"Action, Adventure, Fantasy",6.7,53,,1988,"The evil Wizard Malkil has survived the first battle, but only in the form of four elementals. The bouncing knight Kuros sets out again to defeat him, this time with the aid of shop and inn-keepers, and four animal kings, the eagle, frog, dragon, and bear, for whom he must find the golden egg, golden fly, golden crown, and golden tankard, after which they will give passage to the realms of the elementals before the final confrontation on the mountain after assembling the four pieces of Ironsword.",,nan,
4390,Realm Royale,Action,6.1,99,,2018,"Realm Royale is a free-to-play battle royale game developed by Hi-Rez Studios. The game features multiple character classes each with unique abilities. It is a spin-off of the hero shooter Paladins, where it originated as a game mode known as Paladins: Battlegrounds.",,"Caitlyn Elizabeth, Rachael Messer, Daman Mills",
4391,Yaiba: Ninja Gaiden Z,Action,5.6,75,,2014,"The game follows the exploits of the powerful ninja Yaiba Kamikaze. Yaiba was once part of a clan that tested the abilities of its ninja by putting them up against a highly skilled member; in this case it was Yaiba they had to face. However, after growing weary of his work, Yaiba eventually decides to massacre his own clan and leave the survivors to their deaths. At one point he meets with the franchise mainstay Ryu Hayabusa and decides to challenge him, claiming that he is the weakest foe Yaiba has encountered thus far. During the battle he discovers otherwise as Ryu slices Yaiba's left arm and eye, killing him.Later, Yaiba is discovered by a mysterious organization who brings him back to life and restores his lost body parts with mechanized duplicates, thus turning him into a cyborg. Yaiba learns that a zombie outbreak has begun and that Ryu has been searching for the source of the infection. He decides to work with the organization that resurrected him in order to exact his revenge against Ryu, agreeing to help put a stop to the spread of zombie infection.[8]","Masahiro Yasuma,","Ian Gary, Anastasia Baranova, Antonio Alvarez, Kate Higgins",
4392,Kenka banchou: Otome,"Animation, Action",6.7,38,8 min,2016,"Kenka Banchou Otome - Girl Beats Boys, Hinako Nakayama has spent all of her life being raised in state-run orphanages, without ever knowing her family. As she's about to enter high school, Hinako is approached by Hikaru, a boy who claims to be her twin brother. According to Hikaru, Hikaru and Hinako are the children of the head of the powerful Onigashima yakuza family, and Hikaru wants Hinako to switches places with him at Shishiku Academy, an all-boys school overrun with the nation's toughest delinquents. Can Hinako save her brother, find romance, and become the new boss of the school?","Ai Ito,",Terri Doty,
4393,Front Mission 3,"Action, Drama, Sci-Fi",8.5,78,,1999,"Yokosuka, Japan, 2112 AD. The young student Kazuki Takemura works as a test pilot with Kirishima Industries, a production company of military battle wanzers (walking tanks), mechanized walking robots with movement similar to that of a human being. Kazuki has just finished testing the combat capabilities of the new Zeinslev prototype in the lab. Finishing his day's tasks he is asked by his best friend Ryogo to help with a company delivery to the Japanese Defense Force (JDF) military based. This simple choice determines where Kazuki is when strange things begin happening in Japan. A large explosion, a wanzer theft, his sister Alysia being hunted, rumors of a powerful weapon, and accusations of involvement by agents of both the OCU and the USN all make the situation more complicated. Kazuki is swept up in a plot of conflicting loyalties and attacked by various factions. He will need to recruit additional characters and wanzers in order to be victorious in battle and investigate leads to uncover what is going on.","Toshiro Tsuchida,","Sayuri Ikemoto, Aleksej Rachubo, Yuri Dovorjak, Nikita Yamashita",T
4394,Call of Duty: Heroes,"Action, War",7.1,38,,2014,"Call of Duty: Heroes have a similar gameplay with Clash of Clans. Players take controls an army of soldiers called Units and also called Heroes to help, to destroy enemy base. While Heroes can be controlled to an extent in that they can be moved, Units can't be controlled, except for the fact that the player can choose where to place their units. Also, Heroes get their own ""Killstreaks"" to use, such as the Predator Missile, Chopper Gunner, and EMP. Players also must build up their own base with defenses and structures so that it is protected from intruders. Gold and Oil are used to buy these things, as well as other things like a ""shield"" to protect the player's base for a certain amount of time, usually for a number of days. At the start of playing, the player automatically receives a shield for their base for free for several hours. However, shields expire automatically if a player plays a PvP match.","Vincent Nguyen,","Dimitri Diatchenko, Robin Atkin Downes, Peter Giles, Matthew Mercer",
4395,Radiata Stories,"Action, Comedy, Drama",8.5,89,,2005,"Jack Russell, a 16 year-old boy, wants to become a knight just like his late father, Cairn. On the day that Radiata Castle are trying to recruit the people who wants to become the Radiata knights. Jack was so excited that he departs from his sister's home in Solieu Village and enters Radiata Castle to prove his might to participate of joining the knights. When the announcer calls Jack to the coliseum, he also announced that a girl named Ridley Silverlake will be dueling against Jack who thought the name Ridley was a man's name. Just as he enters the coliseum to face his opponent, Jack was confused to find out that Ridley was his first opponent. Just as Jack and Ridley duel each other, Jack was instantly defeated by Ridley with her Wild Pitch attack. Afterwards, Junzaburo announces who will be the Radiata Knights. The announcement was that Ganz Rothschild, Ridley Silverlake and for some unknown fortunate reason, Jack was selected to become one of them even though he was defeated by Ridley during the duel. Jack, along with Ridley is accompanied by Ganz as he leads his group. As they embark on various missions, one of them however, they were surrounded by a Red Orc. During the battle against the Red Orc, Ridley was badly wounded from the Red Orc's attack. Later, after Jack and Ganz defeated the Red Orc, Lord Nogueira appears and checking on Ridley's wounds, seeing that she is in a near-death state, he uses his strength and performs the ritual called human transpiritation, giving the soul of the light elf's lifeless body to Ridley to save her life. Just as Jack carrying Ridley and Ganz returns to Radiata Castle, Ridley's father Jasne, angered from the fact that Ridley was wounded blames this matter on Jack and Ganz. Some moments later, Jack and Ganz were stripped from their duty as the Radiata Knights and left the castle without Ridley. Jack and Ganz attempts to find another knights business by registering in Theater Vancoor. Jack and Ganz parts to get themselves to prove their might. The Chief of Theater Vancoor assigns Jack to challenge Gerald and proves his might. Jack did his best, but was defeated by Gerald. After that, Gerald was actually impressed with Jack's fighting performance even though Jack lost the battle and did not run away. Some time later, the receptionist Thanos has told Jack that he is the only one that was hired to join Theater Vancoor. As for Ganz, he didn't pass. Jack and Ganz parts ways to attend to their own business. Jack, by himself, must talk and may recruit over 175 characters throughout the world. Mysteries will be revealed as the story goes on. This is Jack's only chance to becoming a better knight than anyone in this world. Will he succeed?","Naoki Akiyama,","Tomoe Hanba, Masashi Hirose, Yui Horie, Sanae Kobayashi",T
4396,Jusant,"Action, Adventure, Fantasy",,,,2023,"Enjoy meditative vibes in Jusant, an action-puzzle climbing game. Scale an immeasurably tall tower and ascend to new heights alongside your watery companion. Master your climbing tools, find your way up through diverse biomes, and piece together the tower's past.",,nan,
4397,Jump Ultimate Stars,"Action, Fantasy, Sci-Fi",7.7,40,,2006,"Following the previous title, Jump Super Stars, Jump Unlimited Stars has more challenges, features, and characters than before. With 41 manga series, this sequel gives the whole panel action feature a lot more to look forward to than its predecessor did.",,nan,
4398,Terminator 2: Judgment Day,"Action, Sci-Fi",6.4,34,,1991,"Designed for various computer systems, this version of ""Terminator 2"" combines a variety of gameplay styles (beat'em up fighter, side-scrolling shooter, top-down driving, puzzles challenges). The game's levels are based on prominent scenes from the film and intercut with digitized clips from",,nan,
